时间,priceAction_if000_m15_110To110,priceAction_if000_m1_110To110,priceAction_if000_m5_66To22,priceAction_M900_m1_110To110,priceAction_M900_m5_110To110,priceAction_rb000_m15_110To110,priceAction_rb000_m1_66To22,priceAction_rb000_m5_66To22,priceAction_ru000_m15_110To110,priceAction_ru000_m1_110To110,priceAction_ru000_m1_66_22,priceAction_ru000_m5_110To110,priceAction_sr000_m15_66To22,priceAction_sr000_m1_22To22,priceAction_sr000_m5_66To22,priceAction_ta000_m15_66To22,priceAction_ta000_m1_110To110,priceAction_ta000_m5_22To22,priceAction_y9000_m15_66_22,priceAction_y9000_m1_110_110,priceAction_y9000_m5_110_110
10-07-26to10-08-25,0,0,0,34,0,0,0,0,6,138,0,28,0,0,0,0,0,0,0,0,0
10-08-25to10-09-24,0,0,0,38,0,0,0,0,16,102,0,20,0,0,0,0,0,0,0,0,0
10-09-24to10-10-24,18,147,0,40,0,0,0,0,8,72,0,22,0,0,0,0,0,0,0,0,0
10-10-24to10-11-23,36,260,0,58,0,0,0,0,9,122,0,42,0,34,0,0,0,15,0,0,0
10-11-23to10-12-23,22,230,0,44,0,0,0,0,18,142,0,40,0,89,0,0,0,26,0,0,0
10-12-23to11-01-22,18,182,0,32,0,0,15,1,10,145,29,36,1,92,11,0,0,34,3,0,0
11-01-22to11-02-21,17,122,0,32,0,0,24,10,12,123,82,32,8,64,24,9,0,22,12,0,0
11-02-21to11-03-23,29,218,0,38,0,0,66,18,23,154,172,48,20,96,24,10,0,32,6,0,0
11-03-23to11-04-22,21,202,0,22,9,3,54,26,17,132,124,36,7,84,26,14,69,40,8,59,25
11-04-22to11-05-22,24,182,0,30,6,6,46,24,19,130,138,28,14,104,29,14,64,24,10,52,8
11-05-22to11-06-21,15,158,0,18,8,6,28,4,10,106,116,24,3,82,21,8,54,26,2,52,24
11-06-21to11-07-21,18,194,0,30,24,10,38,26,19,134,126,36,4,68,24,8,64,28,12,46,16
11-07-21to11-08-20,23,210,0,38,10,10,38,18,10,148,142,26,15,96,25,10,96,26,12,72,22
11-08-20to11-09-19,24,146,0,28,12,4,30,12,15,118,76,34,13,72,31,12,56,20,4,38,6
11-09-19to11-10-19,18,168,0,32,14,10,54,6,14,90,82,32,8,70,24,10,61,16,8,46,12
11-10-19to11-11-18,27,192,0,44,14,8,82,36,19,162,104,46,12,96,26,14,89,30,6,50,10
11-11-18to11-12-18,16,185,0,20,10,10,36,16,15,90,80,26,12,64,26,6,40,20,6,32,12
11-12-18to12-01-17,23,193,0,18,8,10,22,12,10,94,48,26,6,68,20,4,40,12,6,18,10
12-01-17to12-02-16,19,160,0,20,14,2,26,18,14,60,52,24,2,36,14,4,26,6,4,28,10
12-02-16to12-03-17,21,152,0,32,6,10,48,20,16,106,86,36,12,40,20,2,32,24,17,26,16
12-03-17to12-04-16,13,128,0,30,14,8,22,12,10,60,44,26,8,26,12,4,20,14,3,30,12
12-04-16to12-05-16,17,154,0,42,16,2,28,12,9,58,70,24,6,44,10,4,22,11,2,24,20
12-05-16to12-06-15,14,138,0,44,16,14,40,26,11,80,70,22,7,78,24,4,50,15,6,62,16
12-06-15to12-07-15,21,170,0,60,18,2,26,26,10,64,64,32,7,50,20,8,50,20,6,34,8
12-07-15to12-08-14,17,156,0,70,12,8,36,18,14,88,96,24,6,60,26,8,48,24,6,34,10
12-08-14to12-09-13,14,150,0,62,28,2,66,13,22,110,102,22,14,86,34,10,64,22,6,38,14
12-09-13to12-10-13,12,152,0,38,20,10,48,17,12,70,68,20,6,44,18,4,56,22,10,30,14
12-10-13to12-11-12,14,130,0,52,26,8,52,18,14,78,68,30,14,54,14,10,46,18,4,40,10
12-11-12to12-12-12,20,134,0,54,20,4,40,16,14,74,70,22,14,60,16,8,30,20,6,46,16
12-12-12to13-01-11,17,148,0,50,16,12,66,12,14,78,58,18,8,44,10,2,50,16,6,22,18
13-01-11to13-02-10,23,179,0,54,20,8,60,22,10,74,78,30,8,42,28,18,36,10,6,50,14
13-02-10to13-03-12,15,151,0,52,12,7,70,10,6,80,58,16,10,36,18,7,30,22,4,34,8
13-03-12to13-04-11,24,162,0,28,12,13,42,20,5,78,62,26,8,50,16,7,44,14,4,32,10
13-04-11to13-05-11,18,154,0,48,20,8,76,18,10,102,72,20,10,54,20,12,58,30,8,36,16
13-05-11to13-06-10,22,150,0,22,14,8,60,18,13,82,80,26,8,42,14,6,54,22,2,48,20
13-06-10to13-07-10,12,156,0,30,8,8,42,16,8,82,90,16,8,28,18,6,28,14,5,20,18
13-07-10to13-08-09,28,220,0,40,14,6,30,14,20,102,74,27,12,18,32,8,50,26,7,34,24
13-08-09to13-09-08,16,202,0,40,26,2,38,10,8,94,82,37,6,56,12,8,34,18,5,34,18
13-09-08to13-10-08,17,112,0,24,8,4,22,18,6,32,58,12,6,18,8,2,10,20,3,28,14
13-10-08to13-11-07,16,186,0,40,20,10,30,20,12,76,72,16,6,40,12,2,30,14,6,28,12
13-11-07to13-12-07,16,157,0,42,10,8,36,6,14,62,68,20,14,30,18,6,22,8,10,30,20
13-12-07to14-01-06,19,0,0,19,8,2,40,16,5,53,60,11,8,16,14,6,6,4,4,28,8
14-01-06to14-02-05,0,0,0,0,14,10,34,12,0,0,66,0,4,36,18,0,22,18,2,10,12
14-02-05to14-03-07,0,0,0,0,14,6,50,16,0,0,78,0,6,52,14,6,26,12,0,26,10
14-03-07to14-04-06,0,0,0,0,18,10,58,26,0,0,54,0,12,56,32,8,46,22,12,42,8
14-04-06to14-05-06,0,0,0,0,12,6,26,8,0,0,56,0,6,46,16,6,18,8,6,18,14
14-05-06to14-06-05,0,0,0,0,14,2,46,12,0,0,72,0,10,52,22,6,30,16,4,24,10
14-06-05to14-07-05,0,0,0,0,12,10,38,20,0,0,56,0,4,40,16,8,54,12,4,10,6
14-07-05to14-08-04,0,0,0,0,22,8,20,22,0,0,38,0,8,42,16,6,52,20,2,22,10
14-08-04to14-09-03,0,0,0,0,18,8,26,26,0,0,40,0,6,36,18,8,48,30,4,14,10
14-09-03to14-10-03,0,0,37,0,17,3,23,9,0,0,58,0,9,57,21,1,29,25,10,22,10
